Climate,Vegetation,Density,Total
Dsd,"cold evergreen needleleaf forest",-1,0
BSh,"tropical semi-evergreen broadleaf forest",2,32
Af,"cool evergreen needleleaf forest",-1,0
BWh,"tropical savanna",18,103279
Dsb,"erect dwarf-shrub tundra",-1,1
Cwa,"temperate deciduous broadleaf forest",216,140469
Csb,"erect dwarf-shrub tundra",-1,0
Cfc,"cool evergreen needleleaf forest",2,21313
Cfb,"tropical grassland",40,217579
BSk,"temperate sclerophyll woodland and shrubland",12,610289
Csc,"tropical evergreen broadleaf forest",-1,0
Dsd,"wet sclerophyll forest",-1,0
Csc,"tropical semi-evergreen broadleaf forest",-1,0
Cwa,"wet sclerophyll forest",-1,0
Dsd,"cold deciduous forest",0,212195
Dfa,"temperate evergreen needleleaf open woodland",107,1164
Dsb,"desert",3,1269
Aw,"wet sclerophyll forest",109,5860
Cwa,"temperate deciduous broadleaf savanna",-1,0
BSh,"temperate evergreen needleleaf open woodland",25,6264
EF,"tropical semi-evergreen broadleaf forest",-1,0
Dfd,"wet sclerophyll forest",-1,0
Dfc,None,1,2456097
Dfb,"cool evergreen needleleaf forest",22,336893
BWh,"low and high shrub tundra",-1,0
Dsc,"tropical xerophytic shrubland",1,720
Dwc,"warm-temperate evergreen broadleaf and mixed forest",0,3238
Dfc,"temperate deciduous broadleaf savanna",-1,0
BWh,"tropical evergreen broadleaf forest",21,258
Dfd,"temperate sclerophyll woodland and shrubland",-1,0
Dwa,"cold evergreen needleleaf forest",-1,0
Csb,"tropical evergreen broadleaf forest",-1,0
Dwc,"desert",2,32931
Cfc,None,2,20205
Dfb,"warm-temperate evergreen broadleaf and mixed forest",45,10399
Dfa,"tropical grassland",44,818705
Dsc,"prostrate dwarf-shrub tundra",-1,0
Dsa,"tropical grassland",31,136012
Dfd,"tropical semi-evergreen broadleaf forest",-1,0
Am,"tropical grassland",80,27768
Dsa,"graminoid and forb tundra",-1,0
BWk,"low and high shrub tundra",-1,0
Dfc,"tropical evergreen broadleaf forest",-1,0
Dsb,"temperate deciduous broadleaf forest",9,237204
Dsd,"warm-temperate evergreen broadleaf and mixed forest",-1,0
Dwd,"tropical grassland",-1,0
Dsb,"temperate evergreen needleleaf open woodland",9,452808
Csc,"temperate deciduous broadleaf forest",0,238
Cwb,"cool mixed forest",10,2375
Dwb,"temperate evergreen needleleaf open woodland",83,1508
None,"tropical semi-evergreen broadleaf forest",62,2368
Dwc,"cold evergreen needleleaf forest",0,2615962
Dwa,"desert",166,103479
Dfa,"temperate deciduous broadleaf forest",144,1127643
Cwc,"cold deciduous forest",-1,0
Dsd,"tropical savanna",-1,0
Dsd,"temperate evergreen needleleaf open woodland",-1,0
Csc,"temperate evergreen needleleaf open woodland",-1,0
Cfb,"cool mixed forest",209,420484
BWk,"warm-temperate evergreen broadleaf and mixed forest",29,8408
Dwd,"temperate evergreen needleleaf open woodland",-1,0
Dsc,None,0,220851
Cfb,"cool evergreen needleleaf forest",13,67265
ET,"cool evergreen needleleaf forest",0,75430
Dsa,"tropical xerophytic shrubland",2,2762
Am,"warm-temperate evergreen broadleaf and mixed forest",49,669419
Csa,"temperate deciduous broadleaf savanna",-1,0
Dfa,"erect dwarf-shrub tundra",-1,0
Dfa,"tropical deciduous broadleaf forest and woodland",-1,0
Csc,None,0,334
Aw,"cool mixed forest",-1,0
EF,"warm-temperate evergreen broadleaf and mixed forest",-1,8
Dwc,"wet sclerophyll forest",1,19
